t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,Paff_MW,lost_MW,pump,gen
316.0,0.89464,2.76603,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
320.0,0.84039,2.76593,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
324.0,0.78622,2.76582,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
328.0,0.73214,2.76571,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
332.0,0.67814,2.76559,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
336.0,0.62424,2.76548,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
340.0,0.57041,2.76537,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
344.0,0.51668,2.76525,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
348.0,0.46303,2.76513,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
352.0,0.40947,2.76501,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
356.0,0.35599,2.76489,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
360.0,0.30259,2.76477,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
364.0,0.24929,2.76464,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
368.0,0.19607,2.76452,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
372.0,0.14293,2.76439,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
376.0,0.08988,2.76426,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
380.0,0.03691,2.76413,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
384.0,0.0,2.764,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
388.0,0.0,2.76294,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
392.0,0.0,2.76187,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
396.0,0.0,2.76081,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
400.0,0.0,2.75974,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
404.0,0.0,2.75868,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
408.0,0.0,2.75761,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
412.0,0.0,2.75655,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
416.0,0.0,2.75548,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
420.0,0.0,2.75442,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
424.0,0.0,2.75335,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
428.0,0.0,2.75229,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
432.0,0.0,2.75122,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
436.0,0.0,2.75016,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
440.0,0.0,2.7491,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
444.0,0.0,2.74803,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
448.0,0.0,2.74697,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
452.0,0.0,2.7459,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
456.0,0.0,2.74484,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
460.0,0.0,2.74377,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
464.0,0.0,2.74271,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
468.0,0.0,2.74164,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
472.0,0.0,2.74058,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
476.0,0.0,2.73951,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
480.0,0.0,2.73845,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
484.0,0.0,2.73738,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
488.0,0.0,2.73632,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
492.0,0.0,2.73525,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
496.0,0.0,2.73419,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
500.0,0.0,2.73312,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
504.0,0.0,2.73206,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
508.0,0.0,2.73099,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
512.0,0.0,2.72993,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
516.0,0.0,2.72886,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
520.0,0.0,2.7278,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
524.0,0.0,2.72674,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
528.0,0.0,2.72567,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
532.0,0.0,2.72461,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
536.0,0.0,2.72354,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
540.0,0.0,2.72248,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
544.0,0.0,2.72141,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
548.0,0.0,2.72035,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
552.0,0.0,2.71928,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
556.0,0.0,2.71822,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
560.0,0.0,2.71715,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
564.0,0.0,2.71609,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
568.0,0.0,2.71502,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
572.0,0.0,2.71396,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
576.0,0.0,2.71289,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
580.0,0.0,2.71183,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
584.0,0.0,2.71076,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
588.0,0.0,2.7097,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
592.0,0.0,2.70863,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
596.0,0.0,2.70757,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
600.0,0.0,2.7065,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
604.0,0.0,2.70544,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
608.0,0.0,2.70437,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
612.0,0.0,2.70331,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
616.0,0.0,2.70225,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
620.0,0.0,2.70118,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
624.0,0.0,2.70012,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
628.0,0.0,2.69905,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
632.0,0.0,2.69799,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
636.0,0.0,2.69692,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
640.0,0.0,2.69586,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
644.0,0.0,2.69479,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
648.0,0.0,2.69373,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
652.0,0.0,2.69266,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
656.0,0.0,2.6916,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
660.0,0.0,2.69053,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
664.0,0.0,2.68947,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
668.0,0.0,2.6884,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
672.0,0.0,2.68734,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
